时间,策略权益,策略单位净值,基准单位净值
2023-12-29,1000000.0,1.0,1.0
2024-01-02,1000000.0,1.0,0.9869553289447243
2024-01-03,1000000.0,1.0,0.9846076629606064
2024-01-04,1000000.0,1.0,0.9755012219223873
2024-01-05,1000000.0,1.0,0.9702724474083444
2024-01-08,1000000.0,1.0,0.9577240297665779
2024-01-09,1000000.0,1.0,0.9596018477869217
2024-01-10,1000000.0,1.0,0.9551221311797679
2024-01-11,1000000.0,1.0,0.9605264174137937
2024-01-12,1000000.0,1.0,0.9571732750384941
2024-01-15,1000000.0,1.0,0.9562268757407042
2024-01-16,1000000.0,1.0,0.9620432735191607
2024-01-17,1000000.0,1.0,0.9411187907446509
2024-01-18,1000000.0,1.0,0.9544225324872281
2024-01-19,1000000.0,1.0,0.9529791802938169
2024-01-22,1000000.0,1.0,0.9381517042051029
2024-01-23,1000000.0,1.0,0.9419496880586657
2024-01-24,1000000.0,1.0,0.9551162730170784
2024-01-25,1000000.0,1.0,0.9742966554350242
2024-01-26,1000000.0,1.0,0.9716451519084248
2024-01-29,1000000.0,1.0,0.9629421663234978
2024-01-30,1000000.0,1.0,0.9457693850027946
2024-01-31,1000000.0,1.0,0.9371171118710012
2024-02-01,1000000.0,1.0,0.9378046736421938
2024-02-02,1000000.0,1.0,0.9267052623409119
2024-02-05,1000000.0,1.0,0.9327657502314339
2024-02-06,1000000.0,1.0,0.9651956062380864
2024-02-07,1000000.0,1.0,0.9745039935911117
2024-02-08,991876.7355,0.991877,0.9807117224662493
2024-02-19,986591.7355,0.986592,0.9920427789270172
2024-02-20,973876.7355,0.973877,0.9940964584084002
2024-02-21,997706.7355,0.997707,1.0075081827020462
2024-02-22,998066.7355,0.998067,1.0161944098613689
2024-02-23,995921.7355,0.995922,1.0170882605654805
2024-02-26,986366.7355,0.986367,1.0064843740505076
2024-02-27,983626.7355,0.983627,1.0185588634161793
2024-02-28,979651.7355,0.979652,1.0055812552084094
2024-02-29,986376.7355,0.986377,1.0247653681976203
2024-03-01,981406.7355,0.981407,1.0310960310539747
2024-03-04,977026.7355,0.977027,1.0319892697112383
2024-03-05,986426.7355,0.986427,1.0391722806663815
2024-03-06,979151.7355,0.979152,1.0349560939449942
2024-03-07,980691.7355,0.980692,1.0287398547041586
2024-03-08,974591.7355,0.974592,1.0331671101528983
2024-03-11,974451.5742,0.974452,1.0460940059075345
2024-03-12,974451.5742,0.974452,1.04849276323093
2024-03-13,974451.5742,0.974452,1.0411677574070128
2024-03-14,972148.9664,0.972149,1.0382129992396922
2024-03-15,972578.9664,0.972579,1.0404776017229878
2024-03-18,967963.9664,0.967964,1.0502514069864097
2024-03-19,967843.9664,0.967844,1.0427034995294089
2024-03-20,968633.9664,0.968634,1.0449632639280952
2024-03-21,968333.9664,0.968334,1.0437118904293914
2024-03-22,964508.9664,0.964509,1.0331940402142177
2024-03-25,958338.9664,0.958339,1.0275868458774813
2024-03-26,968478.9664,0.968479,1.0328280944891914
2024-03-27,964333.9664,0.964334,1.0208902372961006
2024-03-28,964653.9664,0.964654,1.0261882896843382
2024-03-29,962698.1865,0.962698,1.0310029124977897
2024-04-01,962698.1865,0.962698,1.0479543660201616
2024-04-02,957573.6282,0.957574,1.043591142329775
2024-04-03,958133.6282,0.958134,1.0398393534407044
2024-04-08,933908.6282,0.933909,1.0306891364802977
2024-04-09,929004.9371,0.929005,1.0298379250399412
2024-04-10,929004.9371,0.929005,1.0214504058876108
2024-04-11,929004.9371,0.929005,1.0213152018243428
2024-04-12,929004.9371,0.929005,1.0130363064150176
2024-04-15,929004.9371,0.929005,1.034381294519304
2024-04-16,929004.9371,0.929005,1.0233174402253917
2024-04-17,929004.9371,0.929005,1.0391398421834288
2024-04-18,929004.9371,0.929005,1.0404218763147168
2024-04-19,929004.9371,0.929005,1.0322204776944044
2024-04-22,929004.9371,0.929005,1.0290852239970512
2024-04-23,929004.9371,0.929005,1.0218923328570735
2024-04-24,929004.9371,0.929005,1.0263798020576373
2024-04-25,929004.9371,0.929005,1.0289035918085865
2024-04-26,935618.583,0.935619,1.044638237906632
2024-04-29,932903.583,0.932904,1.0561924583062758
2024-04-30,933403.583,0.933404,1.0505038908838216
2024-05-06,961003.583,0.961004,1.0660913834325154
2024-05-07,965903.583,0.965904,1.066420985232796
2024-05-08,962888.583,0.962889,1.0580317756653612
2024-05-09,958903.583,0.958904,1.0680395285502222
2024-05-10,950393.583,0.950394,1.0685396874055244
2024-05-13,933903.583,0.933904,1.0680773297293684
2024-05-14,931893.583,0.931894,1.0658491003159065
2024-05-15,930903.583,0.930904,1.0568171832677233
2024-05-16,933153.583,0.933154,1.0609858926407458
2024-05-17,938403.583,0.938404,1.0719474768208386
2024-05-20,937924.0112,0.937924,1.0757342106704306
2024-05-21,937924.0112,0.937924,1.0714203879042172
2024-05-22,937924.0112,0.937924,1.0738364865549774
2024-05-23,937924.0112,0.937924,1.061403396026458
2024-05-24,937924.0112,0.937924,1.0496531749099614
2024-05-27,937924.0112,0.937924,1.0596302671622382
2024-05-28,937924.0112,0.937924,1.0518964723339232
2024-05-29,937924.0112,0.937924,1.0531642545171753
2024-05-30,937924.0112,0.937924,1.0475654248206974
2024-05-31,937924.0112,0.937924,1.0433722044286602
2024-06-03,937924.0112,0.937924,1.0459438504141183
2024-06-04,937924.0112,0.937924,1.0537906116035514
2024-06-05,937924.0112,0.937924,1.047705758419455
2024-06-06,937924.0112,0.937924,1.0469630832868395
2024-06-07,937924.0112,0.937924,1.041678758235054
2024-06-11,937924.0112,0.937924,1.0325746488038754
2024-06-12,937924.0112,0.937924,1.0329376217299249
2024-06-13,937924.0112,0.937924,1.0276938666406459
2024-06-14,937924.0112,0.937924,1.0321829388210504
2024-06-17,937924.0112,0.937924,1.0306281941012732
2024-06-18,937924.0112,0.937924,1.0333653841866155
2024-06-19,937924.0112,0.937924,1.0284570016250427
